Transaction_ID,Customer_ID,Name,Email,Age,Gender,Country,Region,City,Product_Category,Quantity,Unit_Price,Total_Amount,Order_Date,Payment_Method,Order_Status
T114973,C03362,Michael Bentley,lorifuller@example.org,64.0,Other,USA,North,Stephensbury,furniture,7.0,220.19,1435.21,2024-08-07,Net Banking,Cancelled
T124674,C04805,Tracy Wilson,pfriedman@example.com,63.0,Female,UK,West,North Christina,FURNITURE,6.0,313.93,2066.93,2025-02-16,Cash,Pending
T116747,C07475,Jocelyn Chang,burnsjulie@example.org,72.0,Male,Japan,East,Jeffreytown,Beauty,6.0,366.07,2345.79,2025-12-29,Debit Card,Pending
T115848,C02967,Brandon Sanders,flopez@example.org,41.0,,USA,West,Port Joshua,FURNITURE,2.0,288.54,615.07,2026-02-26,UPI,Completed
T124704,C05021,Clarence Clarke,melissa51@example.net,31.0,Male,USA,North,New Francisco,Groceries,5.0,270.36,1228.76,2025-09-10,Net Banking,Returned
T119432,C05191,Sharon Thomas,gmartinez@example.org,71.0,Male,Canada,North,Chadburgh,ELECTRONICS,5.0,60.82,323.24,2025-03-10,Credit Card,Pending
T100223,C04113,Connie Brooks,lbarton@example.net,74.0,Other,Brazil,South,West Whitney,CLOTHING,,189.54,,2025-08-29,Credit Card,Pending
T111339,C04636,Meagan Lopez,dodsonheather@example.org,58.0,,Japan,East,Joycetown,Clothing,2.0,204.01,387.62,2026-02-23,,Cancelled
T111002,C02911,Kelsey Perez,olsenjames@example.org,58.0,,Brazil,South,South Jenniferborough,Electronics,5.0,348.93,1690.46,2024-12-17,Cash,Returned
T103149,C00428,Mary Cole,erandolph@example.net,72.0,Male,USA,North,Cruzview,electronics,5.0,177.81,912.01,2025-07-12,Cash,Completed
T105936,C05119,Carolyn Williams,tracyhughes@example.org,58.0,,France,Central,Saraburgh,FURNITURE,4.0,409.4,1530.58,2025-06-13,Net Banking,Cancelled
T105024,C05650,Karen Lee,nguyenkatelyn@example.net,70.0,Other,USA,North,New Reneeland,Groceries,2.0,152.99,321.0,2025-09-03,Net Banking,Pending
T109445,C01866,Sarah Thornton,msherman@example.net,16.0,Other,China,East,New Jamesberg,Book,9.0,6.61,56.09,2025-02-27,Debit Card,Returned
T120384,C07832,Shannon Baker,fwillis@example.com,65.0,Male,Brazil,South,Coopermouth,FURNITURE,5.0,73.09,371.58,2025-12-13,Debit Card,Completed
T118867,C05147,Vanessa Schmidt,melissa49@example.org,,,France,Central,North Anthonyport,ELECTRONICS,9.0,217.35,1792.94,2026-02-23,,Returned
T104882,C05337,Kara Johnson,timothyferguson@example.com,36.0,Other,USA,North,Port Michaelfurt,furniture,8.0,264.01,1955.78,2024-07-21,Cash,Completed
T107088,C04066,Lee Rodriguez,kathywagner@example.net,30.0,Male,France,Central,Julieview,Book,6.0,181.01,1152.23,2024-11-02,,Pending
T115115,C02508,Melissa Jarvis,shanebuchanan@example.com,26.0,Female,Germany,Central,Davisland,Book,6.0,20.52,123.45,2025-11-18,Cash,Completed
T116880,C07124,John Aguirre,,68.0,Male,USA,West,Brownport,clothing,9.0,8.79,83.41,2024-11-06,Cash,Cancelled
T121826,C01261,Erika Woods,marksampson@example.net,,,Brazil,South,Hardingfort,grocery,4.0,410.27,1558.35,2026-05-02,Net Banking,Completed
T119099,C03423,Michelle Taylor,mariaward@example.com,54.0,,UK,West,Christineport,Clothing,7.0,81.11,515.54,2024-10-26,Cash,Returned
T107229,C02479,Joseph Nguyen,mcguireaustin@example.net,23.0,Male,Brazil,South,Roweview,furniture,9.0,48.95,417.52,2025-11-11,UPI,Returned
T107273,C06683,Christopher Lawson,phillipsbobby@example.org,62.0,Other,Brazil,South,Taylorport,Cloths,2.0,282.41,544.95,2024-09-08,Cash,Cancelled
T116304,C05613,Charles Martin,riveradeborah@example.com,32.0,Other,Japan,East,Kruegerton,beauty,6.0,162.42,988.04,2024-12-06,Cash,Completed
T105843,C04142,Laura Richard,stevenruiz@example.net,37.0,Male,China,East,Davisstad,furniture,5.0,456.53,2331.32,2026-05-18,UPI,Pending
T107797,C03584,Cathy Little,lukebanks@example.com,47.0,Female,Japan,East,Amandaborough,beauty,,134.66,,2026-02-15,Cash,Cancelled
T107068,C07730,Alisha Keith,chenrandy@example.org,46.0,Male,USA,North,New Alex,Books,4.0,348.04,1272.1,2025-10-30,Credit Card,Pending
T119644,C06683,Susan Bradford,mcdonaldjoseph@example.org,56.0,Female,France,Central,Barnettchester,Electronic,7.0,376.3,2373.44,2024-12-08,,Completed
T123380,C02973,David Jones,burnettcurtis@example.net,41.0,Other,China,East,West Williamside,Beauty,1.0,490.71,472.08,2026-06-10,Net Banking,Cancelled
T115470,C05812,Tammy Nguyen,parkerpatrick@example.net,58.0,Other,USA,North,Annetteland,Books,1.0,94.56,90.01,2025-07-16,,Cancelled
T102162,C04829,John Dillon,tarameyer@example.net,26.0,Female,Germany,Central,West Christopherberg,Grocery,4.0,394.96,1490.0,2026-07-16,UPI,Cancelled
T114753,C03175,Lisa Melton,,29.0,Male,Brazil,South,North Joshuaborough,ELECTRONICS,6.0,115.21,731.91,2026-04-06,Credit Card,Pending
T111252,C01605,Patrick Spencer,adamscynthia@example.net,39.0,Female,Canada,North,Lake Joel,ELECTRONICS,9.0,159.97,1471.9,2025-01-01,Cash,Pending
T111519,C00754,Dr. Michael Lee,harold26@example.net,23.0,,UK,West,Lake Matthewville,books,1.0,15.22,14.93,2024-09-18,Net Banking,Completed
T119374,C02071,Allen Hurley,markkirk@example.com,23.0,Other,India,South,Robertmouth,grocery,10.0,22.45,219.09,2026-07-10,Debit Card,Completed
T122769,C07016,Alexander Acevedo,rthompson@example.net,75.0,Other,France,Central,East Julianland,Grocery,2.0,192.85,374.48,2025-07-07,Net Banking,Pending
T124468,C00181,Spencer Jenkins,gramirez@example.org,27.0,Other,China,East,Cruzville,Furniture,4.0,112.93,406.56,2024-09-12,Debit Card,Cancelled
T122076,C04813,Andre Butler,danielthomas@example.org,22.0,Other,China,East,Edwardsfurt,beauty,10.0,105.94,1089.24,2024-11-17,,Returned
T102523,C05950,Jason Cruz,carolyn88@example.org,17.0,Female,USA,West,East Kevinshire,sports,7.0,96.94,674.15,2025-06-24,Net Banking,Returned
T104382,C06240,Joseph Green,michael42@example.org,51.0,Other,USA,West,Lake Kevintown,Electronics,7.0,409.13,2819.44,2025-10-12,,Returned
T104299,C07798,Erin Moore,ifigueroa@example.net,25.0,Other,USA,West,Lake Jessica,Furniture,,103.65,,2025-10-15,,Returned
T118293,C04801,Jason Bentley,michael18@example.net,71.0,,Canada,North,Pamelamouth,Electronics,5.0,363.99,1987.43,2025-03-27,UPI,Returned
T119286,C00088,Micheal Obrien,,45.0,,India,South,Oliverport,FURNITURE,10.0,345.05,3374.83,2024-08-09,Net Banking,Returned
T110453,C03728,Edward Villa,ulutz@example.com,28.0,Male,Japan,East,Kleinburgh,Clothing,8.0,225.87,1892.33,2024-10-17,UPI,Pending
T111328,C03747,Hector Hernandez,roseaustin@example.net,67.0,Other,Brazil,South,Williamsburgh,grocery,2.0,50.91,107.71,2024-10-29,Cash,Returned
T102550,C06721,Ernest Hart,wmason@example.net,29.0,Other,Canada,North,Larsonmouth,Book,8.0,210.31,1532.39,2024-08-17,UPI,Completed
T103159,C04713,Luke Mcpherson,dianeharris@example.net,,Male,France,Central,Jenniferside,BEAUTY,5.0,485.85,2628.2,2025-05-04,Credit Card,Completed
T118568,C03940,Kathryn Smith,fwalker@example.com,65.0,Male,Germany,Central,Washingtonstad,furniture,1.0,72.08,65.99,2024-12-05,Net Banking,Returned
T110750,C00284,Kevin Norris,mistygarcia@example.net,41.0,,Brazil,South,Lake Kristin,Electronic,2.0,120.45,244.31,2025-05-04,UPI,Pending
T108189,C04538,Hector Dunlap,joshuahernandez@example.com,60.0,Other,Brazil,South,West Danielland,FURNITURE,3.0,464.52,1285.27,2025-05-22,,Completed
T122868,C05754,Christopher Griffith,welchpatricia@example.com,71.0,Female,UK,West,Carlberg,beauty,9.0,370.88,3568.76,2026-05-01,Debit Card,Cancelled
T106215,C07852,Shelley Guerrero,michelerobertson@example.net,53.0,,USA,North,Port Jenniferbury,Furniture,7.0,484.4,3305.33,2025-08-21,,Completed
T115984,C02177,James Camacho,crosbyamanda@example.org,33.0,,India,South,Port Valerie,Electronics,7.0,306.91,2322.01,2026-04-09,UPI,Completed
T121932,C06443,Ian Stewart MD,ychristensen@example.com,26.0,Other,Germany,Central,Lopezberg,BEAUTY,6.0,210.97,1362.5,2024-08-07,Cash,Completed
T112819,C00640,Juan Rice,crush@example.org,68.0,Female,India,South,Lake Austin,grocery,,204.29,,2026-05-05,Cash,Cancelled
T123151,C01914,Tonya Wyatt,traceytran@example.net,17.0,Other,UK,West,East Donald,clothing,,51.4,,2026-07-13,Debit Card,Pending
T113521,C06719,Brett Johnson,nicholemiller@example.com,72.0,Male,USA,West,,Grocery,1.0,493.26,515.84,2025-09-26,Cash,Cancelled
T108420,C04166,Carol Stewart,pperez@example.org,75.0,Female,USA,West,Leeberg,Sports,8.0,229.48,1883.99,2025-10-22,Net Banking,Pending
T120066,C01184,Frank Howell,melindatran@example.com,44.0,Male,USA,West,Jefferybury,Electronic,1.0,123.99,114.6,2025-02-11,Debit Card,Completed
T105475,C02438,Julie Evans,jonesmichelle@example.com,,Female,France,Central,Lake Michaeltown,electronics,1.0,276.93,294.25,2024-11-01,UPI,Returned
T109937,C05189,Megan Green,qmarsh@example.net,,,Germany,Central,Lake Brittany,Beauty,8.0,80.35,677.16,2025-09-25,Debit Card,Cancelled
T120160,C07835,Ronald Murphy,leonard18@example.org,54.0,Male,France,Central,Christinachester,grocery,,134.88,,2025-11-06,Cash,Returned
T121550,C04067,Angelica Gomez,davisjeffrey@example.com,75.0,Other,France,Central,Parrishshire,Books,9.0,231.96,2075.45,2025-06-02,UPI,Cancelled
T113826,C00871,Larry Fritz,tylerking@example.net,69.0,Male,Brazil,South,Alexisstad,Sports,10.0,340.12,3305.9,2025-08-13,,Pending
T119472,C07402,Matthew Haynes,,58.0,Male,UK,West,Port Tracifurt,beauty,8.0,462.02,3492.18,2024-12-25,UPI,Completed
T112716,C06478,Stephanie Bray,nlee@example.com,40.0,,Germany,Central,North Elizabethfurt,clothing,7.0,156.98,995.44,2026-02-11,Net Banking,Completed
T102070,C06780,Tyler Russell,maciaskenneth@example.com,62.0,Other,India,South,East William,grocery,3.0,230.33,741.4,2026-01-02,Debit Card,Cancelled
T117569,C01661,Kristen Holland,imurphy@example.org,42.0,,China,East,Davisborough,books,1.0,216.52,229.92,2026-02-05,Cash,Pending
T116544,C04754,Phillip Schwartz,petersonmichael@example.com,50.0,Male,UK,West,Davidside,Furniture,4.0,175.91,763.97,2025-05-23,UPI,Completed
T105578,C03536,Sarah Barber,ifrench@example.com,,Female,China,East,Johnsonchester,Groceries,7.0,428.19,3080.64,2025-06-27,Net Banking,Returned
T108446,C05245,Benjamin Hoffman,heather29@example.com,63.0,,France,Central,Port Amber,Cloths,6.0,112.6,726.6,2025-02-17,,Cancelled
T114765,C06428,Betty Hardin,travisallen@example.com,64.0,Male,France,Central,Lake Larryton,Sport,7.0,238.15,1646.1,2025-01-31,Debit Card,Returned
T111733,C06713,Catherine Brooks,cgriffin@example.org,61.0,Female,China,East,Gravesberg,Books,10.0,399.23,3697.99,2026-06-29,Debit Card,Pending
T100061,C00857,Vanessa Warren,tina34@example.org,56.0,Male,Japan,East,Harrytown,books,8.0,207.13,1597.74,2025-07-06,UPI,Returned
T105898,C02130,Jeffrey Richardson,hillmichael@example.com,43.0,Female,Germany,Central,Justinport,grocery,1.0,407.61,443.56,2025-10-07,Credit Card,Completed
T124062,C05254,Rhonda Hayes,chase04@example.org,63.0,Female,China,East,Christopherton,Sport,2.0,7.39,15.75,2025-07-12,Debit Card,Pending
T107011,C01866,Joseph Day,nguyenalex@example.net,48.0,,UK,West,East Christina,Sports,2.0,293.52,566.0,2025-02-07,,Completed
T113010,C06374,Phillip Lucas,charlescollins@example.net,37.0,Male,Canada,North,North Jacob,ELECTRONICS,9.0,26.08,253.53,2024-12-26,Debit Card,Completed
T103797,C03106,Kyle Jackson,rschultz@example.org,69.0,,Germany,Central,Mitchellfurt,furniture,1.0,415.06,421.64,2026-03-20,Credit Card,Returned
T110420,C06557,Krystal Jordan,qhall@example.com,40.0,Other,France,Central,East Leroyhaven,Books,9.0,323.81,3118.96,2025-04-08,Net Banking,Completed
T115533,C00727,Michael Lara,lisasmith@example.com,50.0,,Brazil,South,East Christopher,Clothing,2.0,265.67,545.48,2025-10-29,UPI,Completed
T112648,C03085,Kristin Phillips,davidjohnson@example.net,75.0,Female,India,South,Jessicachester,sports,3.0,108.4,293.93,2024-10-14,Net Banking,Cancelled
T109559,C01974,Alexander Welch,yduffy@example.net,,Male,UK,West,South Melissa,Electronics,2.0,392.53,842.55,2025-06-03,UPI,Completed
T123903,C05195,Emily Lewis,joshua86@example.com,68.0,Female,USA,West,South Anneborough,Clothing,6.0,401.42,2440.62,2025-05-14,Debit Card,Pending
T123525,C01895,Eric Davies,sanchezbrittany@example.com,,Female,Brazil,South,East Kimmouth,Books,8.0,418.35,3590.81,2025-01-10,UPI,Pending
T103124,C01238,Katherine Bailey,,30.0,Other,Brazil,South,Nguyenside,beauty,3.0,339.74,980.39,2025-07-28,UPI,Pending
T101300,C01580,Linda Patrick,wernermichael@example.org,21.0,Female,France,Central,Lake Ruthland,Beauty,8.0,328.61,2752.4,2026-04-03,Debit Card,Completed
T114306,C02083,Mr. Stephen Thomas,emcgee@example.net,,Male,Japan,East,Wongland,Groceries,5.0,293.71,1502.89,2024-08-15,Debit Card,Returned
T120256,C07657,Theresa Johnson,alexander85@example.net,47.0,Male,Germany,Central,New Aaron,CLOTHING,10.0,126.2,1380.33,2026-02-27,Credit Card,Cancelled
T123939,C04663,Brenda Love,,16.0,,Germany,Central,Floresberg,grocery,4.0,91.07,386.29,2026-03-12,Cash,Pending
T107501,C05415,Kaitlyn Russell,jasmine05@example.org,68.0,Male,Germany,Central,Katherinefort,grocery,,412.07,,2024-10-30,Credit Card,Cancelled
T121947,C04436,Mark Stewart,martinjeremy@example.net,44.0,Female,USA,North,Parsonsburgh,BEAUTY,7.0,57.97,393.68,2025-01-07,UPI,Completed
T117530,C03474,Alexander Jones DVM,ebryant@example.com,39.0,Male,Japan,East,Williamshire,Book,9.0,165.27,1527.85,2024-12-17,,Returned
T112265,C02319,Jessica Oconnell,mike71@example.com,59.0,Other,Canada,North,Williamshire,Beauty,2.0,440.13,861.03,2025-12-17,UPI,Completed
T123074,C07344,Benjamin Fischer,nburnett@example.com,,Male,UK,West,Estradafurt,ELECTRONICS,9.0,85.85,759.87,2024-11-26,Credit Card,Completed
T116033,C06881,Summer Flores,zwest@example.org,18.0,Other,Canada,North,New Jackfort,sports,10.0,263.57,2515.58,2026-01-26,Net Banking,Pending
T116546,C01942,James Newman,maurice03@example.net,16.0,Female,USA,North,Perryside,books,,254.4,,2024-12-22,Net Banking,Returned
T120549,C05218,Leslie Klein,kyle11@example.com,45.0,Female,China,East,Shawnview,Groceries,4.0,221.73,904.67,2025-08-16,Cash,Returned
T104668,C05056,Ricky Valentine,lgordon@example.org,27.0,,Japan,East,New Deborahville,clothing,10.0,178.62,1651.63,2026-01-18,Net Banking,Pending
T124139,C00868,Erica Evans,summeryoung@example.org,23.0,,Brazil,South,Rachelview,books,1.0,146.84,160.17,2026-05-02,Net Banking,Returned
T118405,C06650,Cody Walker,benjaminhunter@example.org,,Female,China,East,Mcbridefort,BEAUTY,9.0,212.14,1968.66,2026-07-09,Net Banking,Pending
T103677,C06054,Susan Jarvis,carrie66@example.net,57.0,Male,Canada,North,Lucasview,CLOTHING,6.0,333.58,2048.38,2026-03-14,Cash,Returned
T112155,C02444,Robert Reid,catherine50@example.com,72.0,Other,Japan,East,Kelleyton,clothing,4.0,271.03,1070.04,2024-08-27,,Returned
T120800,C05998,Michael Johnson,odalton@example.net,56.0,,USA,North,Michelleburgh,Beauty,10.0,155.82,1541.09,2026-03-09,UPI,Cancelled
T106422,C00898,Michael Rivas,charles12@example.com,21.0,Female,USA,West,East Carmen,furniture,1.0,245.26,242.03,2025-10-25,Net Banking,Cancelled
T120432,C04778,Sarah Brewer,connorfoster@example.com,41.0,Female,India,South,Nguyenberg,CLOTHING,9.0,181.34,1597.41,2026-03-18,Net Banking,Cancelled
T116161,C07808,Jessica Moore,dominguezchristopher@example.com,,Other,India,South,Shepardview,CLOTHING,2.0,284.12,551.92,2025-02-05,Net Banking,Returned
T103478,C04398,Casey Barker,lisa64@example.net,73.0,Male,China,East,Curryland,Cloths,7.0,196.88,1266.35,2026-01-14,UPI,Pending
T108095,C04688,Don Gilbert,mgallagher@example.com,30.0,Male,USA,West,Mcfarlandmouth,electronics,5.0,282.5,1273.82,2025-02-10,,Returned
T113613,C06073,Megan Johnston,elizabeth52@example.com,26.0,Female,UK,West,New Julia,Books,3.0,130.41,355.69,2024-08-12,,Cancelled
T100253,C06558,Dustin Marquez,zhenderson@example.org,21.0,Male,Germany,Central,West Christopher,furniture,,450.73,,2026-06-11,Net Banking,Pending
T119582,C01633,Kevin Hall,mfisher@example.com,67.0,Other,Japan,East,Sanchezfurt,Furniture,6.0,32.82,212.86,2025-06-21,Cash,Pending
T109776,C02482,Maria Strickland,richardolsen@example.com,75.0,Female,Brazil,South,Lake Jeffreyburgh,furniture,8.0,22.16,194.14,2026-01-05,,Completed
T120951,C05314,Mark Reeves,cheryl71@example.org,19.0,Other,China,East,Kaitlinmouth,grocery,7.0,254.34,1784.95,2024-08-24,Credit Card,Completed
T114408,C01607,Melanie Peck,villanuevakathy@example.com,64.0,Other,UK,West,Gatesborough,Furniture,5.0,96.78,441.01,2025-03-29,Net Banking,Returned
T109363,C03104,Darren Wilson,tonya67@example.com,74.0,Male,Brazil,South,Brownbury,CLOTHING,6.0,129.05,732.56,2025-05-18,Cash,Returned
T116813,C06674,Thomas Wheeler,rileymichelle@example.net,,Other,India,South,Greenfort,Groceries,3.0,485.92,1428.98,2025-10-20,,Cancelled
T104159,C02991,Amber Walker,julie61@example.com,42.0,Male,Germany,Central,East Hannah,sports,7.0,267.77,1959.73,2025-03-03,Cash,Completed
T101544,C02976,Zachary Rodriguez,michaelcampos@example.net,44.0,Male,UK,West,Port Morgan,Books,6.0,266.9,1645.19,2024-09-21,Credit Card,Cancelled
T102795,C07843,Brandon Santos,piercefrank@example.org,51.0,Female,France,Central,,Book,6.0,251.93,1656.23,2025-03-19,Net Banking,Pending
T109227,C00634,Lisa Perry,williamsmatthew@example.net,44.0,Female,USA,North,Angelaburgh,Sport,4.0,430.44,1788.49,2024-09-29,Debit Card,Returned
T117567,C00277,Carly Carpenter,lgordon@example.net,29.0,Other,China,East,Lake Brian,sports,1.0,349.37,358.94,2025-11-19,Cash,Cancelled
T105177,C01755,Gary Baker DDS,moorebrandy@example.net,37.0,Male,USA,West,North Brian,Books,8.0,439.75,3546.74,2024-09-23,Net Banking,Pending
T106437,C04165,Douglas Mayo,tmatthews@example.org,68.0,,China,East,Lake Danielton,CLOTHING,7.0,329.15,2213.61,2025-03-03,Cash,Returned
T124466,C06233,Melanie Torres,vthomas@example.org,71.0,,Germany,Central,Williamshaven,Beauty,7.0,464.53,3251.42,2025-12-22,UPI,Pending
T116660,C04633,Kaitlyn Lewis,pauldunlap@example.net,64.0,,India,South,Lake Meghanborough,Books,6.0,86.36,488.56,2026-05-13,Cash,Cancelled
T121944,C01816,Jimmy Williams,craig96@example.com,25.0,,Germany,Central,Lake Jasmine,Electronics,6.0,163.11,904.64,2026-07-08,Cash,Returned
T115626,C01292,Wendy Pineda,smithhenry@example.org,24.0,Other,China,East,Colemanfort,furniture,6.0,473.72,3021.32,2025-03-08,Net Banking,Pending
T124188,C04465,Mr. Christopher Larson,briananderson@example.org,,,Brazil,South,West Nicolestad,Beauty,4.0,216.74,818.48,2024-10-12,Debit Card,Cancelled
T124276,C03436,Jessica Hartman,tylerjones@example.org,18.0,Female,Canada,North,Dawnbury,electronics,5.0,6.03,28.29,2024-10-08,UPI,Returned
T114585,C01756,Peter Douglas,allendavid@example.org,16.0,,India,South,Cameronborough,Beauty,,162.22,,2025-06-26,,Pending
T105758,C04743,Wendy Melendez,jay63@example.com,49.0,Male,Japan,East,Tylerland,BEAUTY,7.0,455.03,3093.81,2026-02-09,Debit Card,Returned
T114061,C05932,Lisa Jackson DVM,kimberly97@example.net,,,Canada,North,Robertsonport,books,3.0,466.61,1291.3,2025-12-13,Debit Card,Returned
T104264,C01940,Dorothy Graves,skemp@example.org,37.0,Male,China,East,Lake Zacharyhaven,CLOTHING,9.0,273.75,2677.24,2025-06-03,UPI,Pending
T106709,C04955,Savannah Miller,stewartjohn@example.net,62.0,Male,UK,West,East Scotthaven,CLOTHING,10.0,192.89,1756.34,2025-06-14,Debit Card,Pending
T123254,C04425,Susan Jensen,jennifer99@example.org,,,USA,North,East Todd,sports,5.0,271.77,1384.43,2026-03-21,UPI,Completed
T109187,C02034,Sharon Flynn,johngrant@example.org,74.0,Male,Germany,Central,Martinezborough,Sport,5.0,141.05,764.94,2024-12-28,Debit Card,Cancelled
T101845,C04236,Johnny Peck,nsingh@example.org,29.0,Male,Brazil,South,Smithmouth,books,4.0,322.66,1255.44,2026-03-09,Credit Card,Pending
T113224,C00632,Cody White,lrichardson@example.net,18.0,Male,Japan,East,Gibsonburgh,FURNITURE,7.0,202.46,1515.3,2025-10-06,Credit Card,Returned
T106446,C05925,David Simon,mariamatthews@example.org,69.0,Female,USA,West,Joneshaven,FURNITURE,10.0,357.0,3545.25,2025-10-04,,Returned
T103405,C02577,Jason Martinez,miguel67@example.org,58.0,Other,Germany,Central,Underwoodchester,Electronic,7.0,436.37,2955.24,2025-02-06,Net Banking,Cancelled
T115981,C01751,Brittany Bates,matageorge@example.com,68.0,Other,France,Central,South Michael,BEAUTY,7.0,398.54,2920.78,2026-05-03,Net Banking,Cancelled
T108964,C04201,Peter Martin,orodriguez@example.net,,Other,India,South,Stanleymouth,Sports,5.0,88.74,473.56,2025-02-21,Cash,Pending
T121844,C06642,Connor Padilla,jonesaaron@example.net,25.0,,Brazil,South,Nicoleville,Grocery,7.0,85.36,557.31,2026-02-16,UPI,Completed
T110893,C07475,Steve Cruz Jr.,justinmiller@example.net,35.0,Male,Canada,North,Larryport,Sports,4.0,194.11,787.46,2025-05-01,Net Banking,Completed
T115758,C00001,Melissa Williamson,katelyn95@example.org,54.0,Female,USA,North,Greenstad,CLOTHING,6.0,11.19,67.18,2026-03-10,,Completed
T106050,C07599,William Wilson,sperry@example.org,45.0,Female,China,East,South Annamouth,electronics,10.0,92.53,848.24,2024-12-21,Credit Card,Returned
T124389,C05648,Ashley Carter,jenniferhardy@example.org,66.0,,Canada,North,Moontown,Electronic,2.0,189.35,406.3,2025-11-02,Net Banking,Returned
T111316,C04642,Michael Santos,christophermendez@example.com,,,UK,West,Lake Marytown,Book,1.0,124.7,130.89,2025-10-01,UPI,Pending
T115277,C06733,Christopher Baker,gjones@example.org,44.0,Other,France,Central,Blackland,furniture,8.0,70.17,539.76,2024-09-11,,Completed
T117831,C06013,Heidi Nguyen,,,,France,Central,East Dylan,Book,6.0,274.19,1606.99,2024-08-31,Net Banking,Pending
T114693,C01262,Sara Mcintosh,manuel03@example.net,,Female,France,Central,Nolanmouth,sports,9.0,47.8,429.86,2026-04-30,,Cancelled
T105233,C01459,Shawna Martin,harmonkelly@example.net,21.0,,Germany,Central,Andersonchester,BEAUTY,,484.18,,2025-12-19,Debit Card,Cancelled
T106714,C06914,George Young,stephensonnancy@example.net,61.0,Male,France,Central,Lake Victorfurt,Book,5.0,6.85,36.14,2024-09-04,Net Banking,Returned
T116211,C01543,Dana Arias,jarnold@example.org,38.0,Female,India,South,Kellybury,Clothing,9.0,131.16,1181.16,2024-12-24,Cash,Cancelled
T118425,C00993,Maria Reyes,jessicasimmons@example.com,66.0,Other,UK,West,West Christinemouth,Grocery,7.0,225.14,1548.25,2024-10-09,UPI,Completed
